,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,Avarua,56,CK,1545113739,100,-21.21,-159.78,79.27,7.78
44,Kruisfontein,48,ZA,1545113739,85,-34.0,24.73,73.55,3.76
45,Chokurdakh,32,RU,1545113739,78,70.62,147.9,-38.14,2.98
46,Kargasok,88,RU,1545113739,84,59.06,80.87,25.54,7.9
47,Havre-Saint-Pierre,90,CA,1545109200,92,50.23,-63.6,28.4,10.29
48,Half Moon Bay,90,US,1545112800,93,37.46,-122.43,53.96,3.65
49,Butaritari,92,KI,1545113740,100,3.07,172.79,81.7,8.01
50,Nouadhibou,24,MR,1545113740,80,20.93,-17.03,62.66,6.33
51,Vaini,20,IN,1545112800,60,15.34,74.49,75.2,11.41
52,Bluff,20,AU,1545113740,55,-23.58,149.07,88.22,12.71
53,Faanui,36,PF,1545113741,100,-16.48,-151.75,83.81,9.69
54,Rawson,0,AR,1545113741,67,-43.3,-65.11,50.74,3.09
55,Tutoia,64,BR,1545113741,96,-2.76,-42.27,75.58,6.89
56,Rosario do Sul,92,BR,1545113595,100,-30.26,-54.91,69.73,8.68
57,Bubaque,0,GW,1545113741,100,11.28,-15.83,78.32,7.23
58,Saint Anthony,90,US,1545112560,75,43.97,-111.68,35.96,5.82
59,Zhangjiakou,36,CN,1545113741,37,40.77,114.88,29.27,4.43
60,Husavik,36,CA,1545113742,83,50.56,-96.99,18.34,15.39
61,Tasiilaq,0,GL,1545112200,86,65.61,-37.64,28.4,4.7
62,Chuy,92,UY,1545113742,98,-33.69,-53.46,67.3,16.06
63,Trofors,0,NO,1545112200,92,65.54,13.39,28.4,1.12
64,Albany,90,US,1545112860,68,42.65,-73.75,30.02,27.51
65,Cidreira,48,BR,1545113743,98,-30.17,-50.22,71.3,4.21
66,Ponta Delgada,20,PT,1545111000,71,37.73,-25.67,50.0,9.17
67,Alice Town,36,BS,1545113743,100,25.72,-79.3,71.44,7.11
68,Dikson,32,RU,1545113743,100,73.51,80.55,-7.99,32.17
69,Honiara,88,SB,1545113743,98,-9.43,159.96,78.37,3.2
70,Lasa,75,CY,1545111000,93,34.92,32.53,60.8,3.36
71,Esperance,20,TT,1545112800,94,10.24,-61.45,73.4,5.55
72,Pisco,0,PE,1545112800,82,-13.71,-76.2,68.0,5.82
73,Neryungri,32,RU,1545113744,65,56.66,124.71,-17.04,2.75
74,San Patricio,76,PY,1545113744,98,-26.98,-56.83,71.8,4.21
75,Sakaiminato,75,JP,1545112800,37,35.55,133.23,50.0,25.28
76,Ahipara,24,NZ,1545113744,84,-35.17,173.16,68.24,9.57
77,Thompson,90,CA,1545111780,85,55.74,-97.86,10.4,3.36
78,New Norfolk,75,AU,1545112800,51,-42.78,147.06,62.6,13.87
79,Adeje,0,NG,1545113745,91,5.68,5.76,70.49,2.86
80,Saint George,90,GR,1545110400,93,39.45,22.34,39.2,16.11
81,Mitchell,1,US,1545112380,78,43.71,-98.03,33.98,5.82
82,Hobart,75,AU,1545112800,51,-42.88,147.33,62.6,13.87
83,Lichuan,68,CN,1545113746,44,30.3,108.94,55.82,0.74
84,Barrow,0,AR,1545113746,84,-38.31,-60.23,43.22,3.2
85,Sao Joao da Barra,0,BR,1545113746,100,-21.64,-41.05,78.32,28.14
86,Turayf,0,SA,1545109200,100,31.68,38.65,42.8,3.31
87,Vanimo,44,PG,1545113747,100,-2.67,141.3,83.72,11.81
88,Kenai,90,US,1545112560,91,60.55,-151.26,26.06,3.76
89,Dharchula,0,IN,1545113747,71,29.85,80.53,37.1,0.96
90,Hermanus,56,ZA,1545113747,74,-34.42,19.24,68.02,8.68
91,Aksu,75,KZ,1545112800,84,52.04,76.93,5.0,4.47
92,Bambous Virieux,40,MU,1545112800,74,-20.34,57.76,82.4,16.11
93,Erzin,75,TR,1545112200,93,36.95,36.2,51.8,3.36
94,Kahului,40,US,1545112560,73,20.89,-156.47,71.96,3.36
95,Curup,32,ID,1545113748,89,-3.47,102.53,77.24,1.74
96,Qaanaaq,56,GL,1545113748,96,77.48,-69.36,-0.52,10.25
97,Port Elizabeth,90,US,1545112560,54,39.31,-74.98,42.08,13.87
98,Talnakh,36,RU,1545113749,81,69.49,88.39,-5.47,2.3
99,Mar del Plata,0,AR,1545113749,53,-46.43,-67.52,54.65,12.48
100,Omaruru,56,NA,1545113749,65,-21.42,15.95,69.64,4.54
101,Acapulco,40,MX,1545111780,88,16.86,-99.88,73.4,4.7
102,Kaka,80,TM,1545113830,86,37.35,59.62,39.17,1.74
103,Tuatapere,92,NZ,1545113750,93,-46.13,167.69,58.93,10.8
104,Caluquembe,0,AO,1545113750,51,-13.78,14.68,61.45,3.65
105,Houma,0,CN,1545113750,40,35.63,111.36,49.97,3.42
106,Maragogi,92,BR,1545113751,96,-9.01,-35.22,74.81,4.88
107,Cap Malheureux,40,MU,1545112800,74,-19.98,57.61,82.4,16.11
108,Redcar,75,GB,1545112200,81,54.62,-1.06,48.2,23.04
109,Kaohsiung,40,TW,1545112800,64,22.62,120.31,77.0,10.29
110,Botucatu,12,BR,1545113751,90,-22.89,-48.44,69.28,2.75
111,Guerrero Negro,20,MX,1545113751,100,27.97,-114.04,56.09,10.25
112,Laguna,0,MX,1545113752,78,27.52,-110.01,51.32,2.75
113,Provideniya,32,RU,1545109200,70,64.42,-173.23,-5.81,6.71
114,Tuktoyaktuk,90,CA,1545109200,77,69.44,-133.03,1.4,4.7
115,Huarmey,0,PE,1545113752,88,-10.07,-78.15,59.38,2.3
116,Saskylakh,32,RU,1545113753,49,71.97,114.09,-30.18,11.81
117,Ingham,20,AU,1545113753,69,-18.65,146.16,89.21,3.76
118,Atuona,8,PF,1545113753,100,-9.8,-139.03,81.52,14.27
119,San Jose,12,PH,1545113640,64,15.79,120.99,81.25,7.56
120,Kasongo-Lunda,68,CD,1545113754,95,-6.48,16.82,69.86,3.2
121,Igarka,80,RU,1545113755,89,67.47,86.57,12.62,4.88
122,East London,90,ZA,1545112800,88,-33.02,27.91,77.0,6.93
123,Salalah,0,OM,1545112200,44,17.01,54.1,80.6,24.16
124,Cascais,75,PT,1545111000,93,38.7,-9.42,53.6,4.7
125,Lompoc,40,US,1545111300,93,34.64,-120.46,53.6,4.7
126,Kapaa,20,US,1545112560,78,22.08,-159.32,73.94,6.93
127,Mount Gambier,40,AU,1545109200,64,-37.83,140.78,69.8,9.17
128,Porto Novo,40,BR,1545112800,94,-23.68,-45.44,71.6,6.93
129,Coihaique,0,CL,1545112800,65,-45.58,-72.07,46.4,3.36
130,Nhulunbuy,40,AU,1545112800,63,-12.18,136.78,91.4,13.87
131,Northam,40,GB,1545112200,87,51.04,-4.21,53.6,18.34
132,Ridgecrest,20,US,1545112560,73,35.62,-117.67,41.0,3.36
133,Fairbanks,90,US,1545112680,80,64.84,-147.72,-2.03,4.09
134,Aginskoye,12,RU,1545113762,48,51.11,114.54,19.87,16.51
135,Ribeira Grande,0,PT,1545113762,100,38.52,-28.7,60.73,12.71
136,Naushki,20,RU,1545113762,74,50.39,106.11,15.37,4.21
137,Xicotencatl,0,MX,1545113640,84,23.02,-98.88,46.46,2.19
138,Bijar,80,IR,1545113762,100,35.87,47.6,34.72,4.21
139,Bilibino,20,RU,1545113763,47,68.06,166.44,-30.09,2.42
140,Airai,56,TL,1545113763,85,-8.93,125.41,77.2,1.74
141,Marfino,75,RU,1545112800,92,56.07,37.56,8.6,6.71
142,Ilulissat,12,GL,1545112200,65,69.22,-51.1,8.6,3.36
143,Bethel,20,US,1545112560,82,60.79,-161.76,-2.93,11.41
144,Lincoln,1,US,1545112500,76,40.8,-96.67,39.92,13.87
145,Mersin,75,TR,1545112200,87,36.81,34.63,53.6,2.24
146,Axim,20,GH,1545113765,100,4.87,-2.24,82.91,11.7
147,Saint-Augustin,0,FR,1545111000,93,44.83,-0.61,42.8,10.29
148,Petropavlovsk-Kamchatskiy,90,RU,1545112800,80,53.05,158.65,33.8,20.13
149,Luderitz,68,NA,1545113765,97,-26.65,15.16,58.48,7.78
150,Garbolovo,90,RU,1545112800,92,60.34,30.5,21.2,6.71
151,Svetlogorsk,0,RU,1545112800,84,53.14,59.15,1.4,5.55
152,Bangangte,8,CM,1545113766,65,5.14,10.52,56.14,1.74
153,Hasaki,20,JP,1545112800,32,35.73,140.83,53.6,2.24
154,Wheeling,90,US,1545112260,72,40.06,-80.72,33.08,11.41
155,Bouca,20,CF,1545113767,40,6.51,18.28,68.65,5.44
156,San Andres,68,PH,1545113767,98,13.32,122.68,81.43,20.87
157,Georgetown,75,GY,1545109200,100,6.8,-58.16,73.4,4.7
158,Hambantota,20,LK,1545109800,79,6.12,81.12,84.2,4.7
159,Penzance,75,GB,1545112200,87,50.12,-5.53,51.8,28.86
160,Byron Bay,40,AU,1545112800,58,-28.65,153.62,86.0,11.41
161,San Quintin,32,PH,1545113769,53,17.54,120.52,83.77,4.43
162,Tazovskiy,88,RU,1545113770,91,67.47,78.7,25.0,16.51
163,Voh,92,NC,1545114059,100,-20.95,164.69,76.39,11.25
164,Samarai,20,PG,1545113791,100,-10.62,150.67,85.57,5.44
165,Hofn,92,IS,1545113685,94,64.25,-15.21,44.98,23.22
166,Nicseni,90,RO,1545112800,100,47.87,26.63,24.8,2.98
167,Shellbrook,20,CA,1545109200,92,53.22,-106.39,12.2,7.23
168,Ahuimanu,1,US,1545112620,68,21.44,-157.84,73.94,3.36
169,Sangar,36,RU,1545113792,61,63.92,127.47,-13.75,4.43
170,Los Llanos de Aridane,0,ES,1545111000,55,28.66,-17.92,62.6,4.7
171,Grindavik,75,IS,1545112800,86,63.84,-22.43,42.8,20.8
172,Bathsheba,40,BB,1545112800,74,13.22,-59.52,78.8,17.22
173,Mahebourg,40,MU,1545112800,74,-20.41,57.7,82.4,16.11
174,Hamilton,90,BM,1545112500,64,32.3,-64.78,68.0,20.8
175,Vostok,48,RU,1545113795,61,46.45,135.83,5.92,7.0
176,Namibe,88,AO,1545113796,100,-15.19,12.15,72.56,3.2
177,Vammala,90,FI,1545112200,92,61.34,22.91,30.2,5.82
178,Arona,0,IT,1545112200,100,45.76,8.56,30.2,2.24
179,Sinnamary,36,GF,1545113797,100,5.38,-52.96,74.99,4.65
180,Vershino-Darasunskiy,36,RU,1545113799,69,52.35,115.52,15.05,8.46
181,General Pico,0,AR,1545113800,71,-35.66,-63.75,60.95,10.25
182,Guasdualito,12,VE,1545113801,78,7.24,-70.73,74.59,5.66
183,Lorengau,48,PG,1545113801,100,-2.02,147.27,85.03,5.1
184,Pangody,92,RU,1545113802,90,65.85,74.49,20.32,23.33
185,Sur,0,OM,1545113802,100,22.57,59.53,73.24,6.22
186,Gaomi,0,CN,1545112800,30,36.37,119.8,53.6,4.47
187,Turukhansk,92,RU,1545113804,93,65.8,87.96,23.29,22.21
188,Richards Bay,44,ZA,1545113804,64,-28.77,32.06,83.77,9.35
189,Hilo,90,US,1545112380,81,19.71,-155.08,71.06,3.36
190,Carnarvon,8,ZA,1545113804,16,-30.97,22.13,77.47,9.8
191,Ostersund,90,SE,1545112200,92,63.18,14.64,19.4,1.12
192,Sitka,76,US,1545113805,55,37.17,-99.65,38.23,9.24
193,Caxito,0,BR,1545113806,83,-22.65,-42.51,74.81,10.02
194,Barranca,80,PE,1545113806,100,-10.75,-77.76,67.16,7.11
195,Vardo,90,US,1545113100,54,39.62,-77.74,39.2,18.34
196,Tiksi,32,RU,1545113807,39,71.64,128.87,-26.13,2.86
197,Do Gonbadan,92,IR,1545113807,78,30.36,50.8,42.32,1.63
198,Cabo San Lucas,75,MX,1545111600,82,22.89,-109.91,64.4,3.2
199,La Ronge,75,CA,1545109200,78,55.1,-105.3,14.0,6.93
200,Buta,80,CD,1545113813,98,2.79,24.73,72.74,2.42
201,Fountain Hills,75,US,1545112380,46,33.61,-111.72,57.92,5.82
202,Chama,80,ZM,1545113813,90,-11.22,33.16,68.96,4.43
203,Marsa Matruh,20,EG,1545109200,71,31.35,27.25,55.4,8.05
204,Komsomolskiy,80,RU,1545113816,88,67.55,63.78,22.79,18.86
205,Castro,0,CL,1545112800,81,-42.48,-73.76,46.4,10.29
206,Aripuana,48,BR,1545113817,95,-9.17,-60.63,72.56,1.52
207,Macheng,0,CN,1545113817,40,31.18,115.03,61.09,4.43
208,Juneau,90,US,1545112560,100,58.3,-134.42,39.02,2.64
209,Atbasar,80,KZ,1545113818,89,51.81,68.36,14.2,4.43
210,Plouzane,90,FR,1545111000,71,48.38,-4.62,51.8,24.16
211,Nebbi,12,UG,1545113819,64,2.48,31.09,76.12,1.97
212,Goundam,0,ML,1545113819,68,16.42,-3.66,57.58,11.25
213,Norman Wells,75,CA,1545109200,76,65.28,-126.83,-7.61,2.24
214,Gallup,1,US,1545112380,81,35.53,-108.74,35.96,3.2
215,Oudtshoorn,20,ZA,1545112800,73,-33.59,22.2,77.0,20.8
216,Lagoa,0,PT,1545111000,93,37.14,-8.45,50.0,6.93
217,Yangjiang,0,CN,1545113824,92,21.85,111.96,68.87,17.18
218,Hualmay,24,PE,1545113824,94,-11.1,-77.61,61.09,3.2
219,Ponta do Sol,80,BR,1545113824,78,-20.63,-46.0,69.5,3.09
220,Torbay,90,CA,1545112020,97,47.66,-52.73,32.0,34.45
221,Henties Bay,24,NA,1545113825,100,-22.12,14.28,60.41,4.21
222,Rundu,0,NA,1545113825,67,-17.91,19.77,75.22,5.21
223,Xam Nua,0,LA,1545113825,69,20.42,104.04,65.59,2.53
224,Saldanha,76,PT,1545113825,90,41.42,-6.55,39.17,10.8
225,Meadow Lake,0,CA,1545113826,80,54.13,-108.44,20.72,6.55
226,Tabou,12,CI,1545113826,100,4.42,-7.36,82.1,9.46
227,Hithadhoo,8,MV,1545113826,100,-0.6,73.08,83.59,13.04
228,Pacifica,90,US,1545112800,93,37.61,-122.49,53.96,2.98
229,Padang,12,ID,1545113826,100,-0.92,100.36,83.0,8.79
230,Liverpool,40,GB,1545112200,81,53.41,-2.98,51.8,19.46
231,Miri,0,NG,1545113827,62,10.31,9.75,50.74,4.21
232,Azangaro,92,PE,1545113827,100,-14.91,-70.2,39.4,1.19
233,Marsh Harbour,0,BS,1545113664,100,26.54,-77.06,71.8,7.34
234,Cherskiy,20,RU,1545113827,63,68.75,161.3,-34.36,2.86
235,Paraiso,8,MX,1545113827,73,24.01,-104.61,40.7,6.44
236,Kirando,68,TZ,1545113828,100,-7.37,30.62,73.37,4.76
237,Khatanga,36,RU,1545113828,56,71.98,102.47,-19.6,14.05
238,Brejinho,40,BR,1545112800,88,-6.2,-35.36,77.0,8.05
239,Cockburn Town,0,TC,1545113829,100,21.46,-71.14,77.74,2.98
240,Maniitsoq,12,GL,1545113829,100,65.42,-52.9,11.45,5.21
241,Zhuhai,0,CN,1545112800,39,40.71,112.04,30.2,4.47
242,Tsiroanomandidy,24,MG,1545113829,86,-18.77,46.05,72.07,10.02
243,Constitucion,8,MX,1545113829,73,23.99,-104.67,40.7,6.44
244,Villa Carlos Paz,75,AR,1545112800,100,-31.42,-64.5,60.8,6.93
245,Tautira,75,PF,1545112800,78,-17.73,-149.15,82.4,4.7
246,Dunedin,100,NZ,1545113659,89,-45.87,170.5,61.67,5.66
247,Aklavik,90,CA,1545109200,77,68.22,-135.01,-2.21,3.36
248,Isangel,48,VU,1545113830,100,-19.55,169.27,78.1,12.03
249,Pemberton,0,AU,1545113830,62,-34.44,116.03,71.39,12.26
250,Banda Aceh,44,ID,1545113830,89,5.56,95.32,83.23,0.85
251,kimparana,0,ML,1545113831,53,12.83,-4.92,60.5,4.99
252,Leningradskiy,24,RU,1545113831,100,69.38,178.42,-9.16,22.32
253,Norsup,92,VU,1545113832,98,-16.07,167.38,79.63,5.1
254,Caravelas,24,BR,1545113832,100,-17.73,-39.27,78.32,10.8
255,Moerai,76,PF,1545113832,100,-22.43,-151.33,77.6,22.77
256,Awallan,92,PH,1545113832,93,17.92,121.91,70.72,10.25
257,Abu Dhabi,0,AE,1545112800,64,24.47,54.37,71.6,3.36
258,Kedougou,0,SN,1545113832,70,12.56,-12.19,56.95,1.41
259,Ludvika,90,SE,1545112200,100,60.15,15.18,26.6,5.82
260,Kavieng,36,PG,1545113833,100,-2.57,150.8,86.2,4.54
261,Rawlins,1,US,1545112500,74,41.79,-107.24,32.0,8.05
262,Srednekolymsk,64,RU,1545113834,87,67.46,153.71,-40.26,2.53
263,Penukonda,0,IN,1545113834,69,14.08,77.6,73.19,7.23
264,Pimenta Bueno,64,BR,1545113834,92,-11.68,-61.19,73.19,2.08
265,Nogliki,36,RU,1545113834,100,51.8,143.14,11.54,16.96
266,Carai,0,BR,1545113834,93,-17.19,-41.69,62.35,3.09
267,Jega,0,NG,1545113834,36,12.22,4.38,63.88,14.27
268,Aiken,1,US,1545112560,86,33.56,-81.72,48.92,3.98
269,Atar,0,MR,1545113836,61,20.52,-13.05,43.27,2.98
270,Lebu,40,ET,1545109200,62,8.96,38.73,53.6,6.93
271,Port Macquarie,36,AU,1545109200,69,-31.43,152.91,78.8,9.17
272,Ambilobe,0,MG,1545113837,95,-13.19,49.05,81.07,4.43
273,Carauari,76,BR,1545113838,100,-4.88,-66.9,73.78,2.98
274,Longyearbyen,75,NO,1545112200,72,78.22,15.63,14.0,1.12
275,Pierre,1,US,1545112380,92,44.37,-100.35,26.06,9.17
276,Weiser,90,US,1545112380,92,44.25,-116.97,39.02,2.42
277,Darovskoy,56,RU,1545113839,75,58.77,47.96,8.17,5.44
278,Ancud,0,CL,1545112800,81,-41.87,-73.83,46.4,10.29
279,Yulara,0,AU,1545112800,9,-25.24,130.99,105.8,18.34
280,Fortuna,0,ES,1545111000,81,38.18,-1.13,46.4,5.82
281,Constantine,20,DZ,1545111000,100,36.36,6.61,33.8,4.32
282,Farafangana,32,MG,1545113633,100,-22.82,47.83,79.45,4.32
283,Vestmannaeyjar,20,IS,1545113844,91,63.44,-20.27,45.79,26.24
284,Cuiluan,12,CN,1545113844,53,47.72,128.65,3.4,7.23
285,Poum,92,MK,1545113845,96,41.28,20.71,25.45,1.97
286,Yumen,56,CN,1545113845,71,40.29,97.04,33.5,2.64
287,Xuddur,0,SO,1545113846,41,4.12,43.89,76.34,13.04
288,Aubenas,0,FR,1545111000,92,44.62,4.39,30.2,2.3
289,Taoudenni,0,ML,1545113690,62,22.68,-3.98,44.53,5.44
290,Severo-Kurilsk,92,RU,1545113861,100,50.68,156.12,31.03,29.37
291,Tiarei,75,PF,1545112800,78,-17.53,-149.33,82.4,4.7
292,Corinto,0,BR,1545113861,62,-18.36,-44.46,70.04,5.55
293,Aswan,0,EG,1545109200,62,24.09,32.9,51.8,4.7
294,Kieta,44,PG,1545113862,100,-6.22,155.63,79.85,3.98
295,Shahrud,88,IR,1545113862,68,36.42,54.97,42.64,4.99
296,Gat,0,SN,1545112800,46,14.69,-16.54,69.8,12.75
297,Alice Springs,0,AU,1545112800,8,-23.7,133.88,109.4,6.93
298,Riyadh,0,SA,1545112800,48,24.63,46.72,66.2,2.24
299,Charlestown,68,US,1545112620,57,41.38,-71.64,41.0,17.22
300,Vila Franca do Campo,20,PT,1545111000,71,37.72,-25.43,50.0,9.17
301,Nador,75,MA,1545112800,93,35.17,-2.93,55.4,3.36
302,Deputatskiy,0,RU,1545113863,0,69.3,139.9,-36.52,2.19
303,Roebourne,0,AU,1545113863,17,-20.77,117.15,100.1,4.43
304,Emerald,40,AU,1545112800,24,-23.53,148.16,100.4,12.75
305,Auki,0,NG,1545113863,43,12.18,6.51,58.57,11.25
306,Souillac,0,FR,1545111000,93,45.6,-0.6,42.8,11.41
307,Mercedes,92,UY,1545113863,95,-33.25,-58.03,63.34,15.84
308,Bartica,75,GY,1545109200,100,6.41,-58.62,73.4,4.7
309,Vanavara,88,RU,1545113864,77,60.35,102.28,19.46,10.69
310,Vanino,48,RU,1545113864,85,53.93,40.55,12.85,5.1
311,Andra,0,RU,1545113864,84,62.52,65.89,14.51,9.46
312,Praia da Vitoria,20,PT,1545109200,81,38.73,-27.07,50.0,20.87
313,Shizuishan,0,CN,1545113864,47,39.02,106.36,33.32,4.21
314,Palmer,12,AU,1545112800,45,-34.85,139.16,82.4,5.82
315,Marawi,80,PH,1545113865,100,8.0,124.29,72.79,3.09
316,Shelburne,90,CA,1545111480,73,44.08,-80.2,32.0,9.17
317,Margate,75,AU,1545112800,51,-43.03,147.26,62.6,13.87
318,Dunmore East,92,IE,1545113865,96,52.15,-6.99,51.64,18.97
319,Szendro,75,HU,1545112800,86,48.4,20.73,28.4,3.36
320,Hovd,0,NO,1545112200,79,63.83,10.7,30.2,10.29
321,Lufilufi,75,WS,1545109200,74,-13.87,-171.6,82.4,8.05
322,Noumea,90,NC,1545112800,73,-22.28,166.46,77.0,8.05
323,Khasan,24,RU,1545113866,99,42.43,130.64,31.79,14.05
324,Flagstaff,90,US,1545112620,95,35.2,-111.65,42.8,2.42
325,High Prairie,0,CA,1545113866,69,55.43,-116.48,28.78,8.23
326,Patamundai,48,IN,1545113866,93,20.57,86.57,67.7,20.54
327,Uruguaiana,90,BR,1545112800,100,-29.77,-57.08,68.0,11.41
328,Wajir,90,KE,1545109200,78,1.75,40.07,77.0,11.41
329,Kavaratti,0,IN,1545113867,98,10.57,72.64,84.35,14.5
330,Metro,0,ID,1545113867,57,-5.11,105.31,91.6,8.79
331,Charters Towers,0,AU,1545113867,59,-20.07,146.27,89.57,8.79
332,Mogzon,68,RU,1545113867,56,51.74,111.97,15.73,15.5
333,Rio Claro,76,BR,1545113868,87,-22.41,-47.56,69.86,2.3
334,Tahoua,0,NE,1545109200,25,14.89,5.26,62.6,9.17
335,Olinda,90,EC,1545112800,88,-2.03,-79.75,73.4,12.75
336,Oranjemund,24,ZA,1545113868,94,-28.55,16.43,61.94,3.98
337,Xinzhi,40,TW,1545112800,64,22.54,120.62,77.0,10.29
338,Klaksvik,92,FO,1545112200,93,62.23,-6.59,46.4,27.51
339,Shakawe,0,BW,1545113869,72,-18.36,21.84,75.17,8.79
340,Bosaso,0,SO,1545109200,78,11.28,49.18,77.0,12.75
341,Khandyga,36,RU,1545113869,59,62.65,135.58,-20.86,2.86
342,Mankono,0,CI,1545113869,83,8.06,-6.19,65.05,2.75
343,Egvekinot,24,RU,1545113869,63,66.32,-179.17,-35.31,2.08
344,Micheweni,0,TZ,1545113869,100,-4.97,39.83,83.27,6.78
345,Jishou,20,CN,1545113869,77,28.26,109.7,58.07,3.98
346,Manacapuru,0,BR,1545112800,88,-3.3,-60.62,75.2,4.7
347,Kindu,64,CD,1545113870,96,-2.95,25.92,72.79,2.98
348,Marion,40,US,1545112500,78,35.21,-90.2,42.08,3.2
349,Adrar,0,DZ,1545109200,45,27.87,-0.29,44.6,13.87
350,Dicabisagan,100,PH,1545113870,100,17.08,122.42,73.78,13.15
351,Necochea,0,AR,1545113870,98,-38.55,-58.74,45.07,2.86
352,Peniche,75,PT,1545111000,93,39.36,-9.38,51.8,4.7
353,Sabancuy,32,MX,1545113871,100,18.97,-91.18,74.23,8.57
354,Tahe,20,CN,1545113871,54,52.34,124.71,2.5,7.0
355,Peterhead,64,AU,1545112800,45,-34.83,138.5,82.4,5.82
356,Umm Lajj,0,SA,1545113871,100,25.02,37.27,63.43,8.57
357,Zanjan,90,IR,1545112800,86,36.67,48.48,37.4,9.17
358,Mbinga,32,TZ,1545113872,100,-10.95,35.0,73.15,3.87
359,Flinders,75,AU,1545112800,78,-34.58,150.85,71.6,5.82
360,Peretu,90,RO,1545111000,100,44.28,24.35,30.2,3.36
361,Korop,80,UA,1545113872,83,51.57,32.95,14.96,7.9
362,Nanakuli,1,US,1545112620,84,21.39,-158.15,73.94,5.82
363,Nelson Bay,40,AU,1545112800,73,-32.72,152.14,77.0,10.29
364,Bushehr,40,IR,1545112800,55,28.97,50.84,66.2,6.93
365,Gigmoto,76,PH,1545113873,100,13.78,124.39,79.4,18.86
366,Abu Kamal,32,SY,1545113873,100,34.45,40.92,47.99,6.78
367,Rio Gallegos,0,AR,1545112800,82,-51.62,-69.22,51.8,16.11
368,Sirvintos,90,LT,1545112200,100,55.05,24.95,26.6,6.93
369,Nome,90,US,1545112500,92,30.04,-94.42,51.08,4.21
370,Ankara,75,TR,1545112020,100,39.92,32.85,41.0,4.7
371,Wewak,76,PG,1545113874,97,-3.55,143.63,80.35,3.09
372,Baryatino,64,RU,1545113874,79,54.31,34.52,6.82,4.43
373,Macamic,90,CA,1545109200,78,48.75,-79.0,12.2,9.17
